pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
P3PTNPUPTDOHMP74AZKCKHXHZHBD5TTB.pdf,20518a68829bda164ebbbdc53c72ff54c2585a7fa9e64a31b661932103798948,163344,1.3,5,30,25,0,0,0,589692,589692,0,7.393132019591437,7.986502855644975,2.0,1.7064904590367422,10,0,0,0,False,16,False,False,32668.8,32668.8,1,True,87,0,0
QRJ42GGGA52M42R57XTGIQONYKAKWVG5.pdf,51793fcfbd045882c376caab7b247e41d2815e14b62a1b276f933528bf25d2a7,149974,1.4,7,42,35,0,0,0,648588,0,648588,7.346577679186225,7.978268291448983,2.0,1.6962248594296894,10,0,0,0,False,15,False,True,21424.85714285714,21424.85714285714,1,True,104,0,0
4WDM523HPSRSKBCVFVEJGLJ43DYOQRKO.pdf,cc901ab3074f33e15a08b34df50f27d8d385f1b6ea7884e5849c772bce68b69c,175196,1.5,6,36,30,0,0,0,920095,0,920095,7.091746932380842,7.988750883723961,2.584962500721156,1.647726241132322,9,0,0,0,False,6,False,False,29199.333333333332,29199.333333333332,1,True,93,0,0
lab 1 Email Forensics_014411.pdf,58faa365a6f8cc2b024a4fe4a18edb5c6e9d2220df7ee234f711990fcc5774b7,1016971,1.7,7,42,35,0,0,0,678310,678310,0,7.221846581748192,7.995693612000934,0.0,2.2841517892250613,10,0,0,0,False,27,True,True,145281.57142857142,145281.57142857142,1,True,213,0,0
CEHv13 - Module 14 - Hacking Web Applications  .pdf,ca93db52ee3e778f02f1b2567f2ec105fb6a5c90bcead287f7161492448c2294,211812537,1.7,368,2208,1840,0,0,0,0,0,0,7.375611161682358,7.94001365488727,2.2359263506290326,1.6279050072160839,10,0,0,0,False,737,True,False,575577.5461956522,575577.5461956522,1,True,26192,0,0
DOC-20250424-WA0000..pdf,97d3bab78cc2565b97b3d6ab6facb60e59e670e058d25419013845ca1ba364f0,649133,1.5,4,24,20,0,0,0,125701,125701,0,7.393636342527972,7.994111532121144,1.584962500721156,1.8370136937964274,10,0,0,0,False,14,False,False,162283.25,162283.25,1,True,85,0,0
FBTKGVAADTR36EKHKLGBXAUK5DI2LT5Z.pdf,add07846df6292179d5ea2b1cd00e1851f9071c99e6bea8cdf22323a35249ad3,76383,1.1,1,6,5,0,0,0,494024,494024,0,7.218565071177135,7.809322986167092,1.584962500721156,1.7815816473341195,10,0,0,0,False,0,False,False,76383.0,76383.0,1,True,18,0,0
7MHCNBM2ZR4PD2BSWVFLG77BRN3HS3AD.pdf,a96ab86b76bf3d113ac5d5c93c12ddeec26a1b274b635560175261ff9909a75d,241463,1.5,1,6,5,0,0,0,267399,267399,0,6.932017738279828,7.989547737125129,1.584962500721156,1.9586172833471207,8,0,0,0,False,5,False,True,241463.0,241463.0,1,True,38,0,0
TAHISCO PHYSICS 2 2025 - WazaElimu.com (1).pdf,1eee496b941ce35a8538cf9ac52a03314ba6e76965f76ddf69dea7323ef120b7,5269691,1.3,17,102,85,0,0,1,0,0,0,7.197656158760083,7.951782984555796,0.0,2.276259309537449,10,0,0,0,False,17,False,False,309981.82352941175,309981.82352941175,1,True,658,0,0
SI 311 Lecture 03 year 2022-2023.pdf,b62fa499484b3ebf3eff572e13bc0e3624fb1a4fbb74604a09c86a6b081facd0,828715,1.7,23,138,115,0,0,0,637476,637476,0,7.315353337585287,7.994079852983458,1.9219280948873623,1.7286991461698977,9,0,0,0,False,42,False,False,36031.086956521736,36031.086956521736,1,True,223,0,0
719954f8de432dbfef6253fd5bfaad07dc44e103.pdf,1996175f9de1783aee6fd34c2c6e44da3364a2e973650a0cfae65f7639bf551b,758686,1.7,5,30,25,0,0,0,361738,954582,592844,7.424817090331405,7.996100224960303,2.2516291673878226,1.636984308612517,10,0,0,0,False,64,False,True,151737.2,151737.2,1,True,146,0,0
WJFP7CI5XSOBSZZUQGR3FKMENNTPAKKC.pdf,5815fe91ef95a4864decc3df0efbdcf349012ac2b8dd971b0450ce413bfa7ddb,11560,1.3,8,48,40,0,0,0,879244,0,879244,7.450949984786294,7.825967562707132,5.773949797377765,0.6127185485426774,8,0,0,0,False,9,False,False,1445.0,1445.0,1,True,12,0,0
O7L5CYQXFDOBSVKIJYAENIFCV6NZK7CG.pdf,7a2da8d9bf1ae78796f7693c0be7004f14f7ae52f851e73360cca1a35f03c4a5,334161,1.3,8,48,40,0,0,0,991297,991297,0,7.159238000745389,7.990722865174217,0.0,2.2704962878576715,10,0,0,0,False,68,False,False,41770.125,41770.125,1,True,55,0,0
X523GQMQOO6J2IFJ534QO3V3HYITF7XF.pdf,1b7f837ad99063b4c7ca0ef763075a096fc4729f019dbef6449e15244798ea3c,38088,1.4,2,12,10,0,0,0,149774,149774,0,6.882955946398358,7.950474788217367,2.5,1.9774574183061415,8,0,0,0,False,5,False,False,19044.0,19044.0,1,True,14,0,0
9022c3a507bbfa1e98daeffd0f70f128f19746d3.pdf,c5bf4fd208fa5d9f393fdd3265c8f46a09218f9d9e95337116c05636b3704484,665916,1.7,7,42,35,0,0,0,407509,320232,87277,7.175946690661276,7.993674623271787,2.2516291673878226,1.5832012605919126,10,0,0,0,False,73,False,True,95130.85714285714,95130.85714285714,1,True,99,0,0
YCENQ63SSTK57JODMEMYLIL2VE73QSQH.pdf,7bfcdcc0e3568c8a2d40948c9a80ded60cdbbf6a5f052ce48dc80ff34f32c8ff,1184519,1.6,22,132,110,0,0,1,704452,802211,97759,7.081410423541601,7.751511791892729,2.5032583347756456,1.4495599779875568,10,0,0,0,False,32,False,False,53841.77272727273,53841.77272727273,1,True,151,0,0
TYLWGSX5OYKE27DHTQXUJTBMKMHMKY3B.pdf,185155324f113e77522f9676af7c367dff600eedea3330677d51a6dbfd3f46b8,55589,1.4,1,6,5,0,0,0,132678,971160,838482,7.074502560138499,7.970183762094039,2.725480556997868,1.5354124999079033,7,1,0,0,False,5,False,False,55589.0,55589.0,1,True,32,0,0
ZF3VSSCDPGCPC7BIYVD474NMD3TEZZW2.pdf,737497d711ce1f826209ff5d449f595cbd4bed5113388923bb80f9dd5f50fe0a,88334,1.5,3,18,15,0,0,0,760250,760250,0,7.237688945153363,7.969568980815256,2.0,1.7426054828564637,9,0,0,0,False,26,False,False,29444.666666666668,29444.666666666668,1,True,30,0,0
T7NO5D5YLX4V5I7FBDQDAIXPBCLNAO7X.pdf,9230e6e4a7f2382c482d92be13209ced394af705683cbb9bb395a96ddcc9b111,243343,1.5,1,6,5,0,0,0,645681,645681,0,6.931577315885726,7.990330953588092,1.584962500721156,1.9725734503303367,8,0,0,0,False,5,False,False,243343.0,243343.0,1,True,46,0,0
4P4SBCDNQWWUH5CI2KLPHVFIUV54ODLT.pdf,b680aac9459f8c3d99da8c1454156aabfdf5a008ef69f942e2cd2f36a83802d7,7600138,1.6,215,1290,1075,0,0,1,845343,847475,2132,7.473363575341794,7.988386386820574,2.5,1.5728412851457299,10,0,0,0,False,411,False,False,35349.47906976744,35349.47906976744,1,True,1017,0,0
