name,pdf_size,metadata_size,pages,xref_length,title_characters,isEncrypted,embedded_files,images,contains_text,header,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,encrypt,ObjStm,JS,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,EmbeddedFile,XFA,URI,Colors,class
74fr12092,46.0,334.0,2.0,31.0,8.0,0.0,0.0,-1.0,Yes,%PDF-1.6,30.0,30.0,9.0,9.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
coexsyste,75.0,272.0,1.0,21.0,0.0,0.0,0.0,-1.0,No,%PDF-1.2,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
chtcbloc,17.0,298.0,1.0,13.0,0.0,0.0,0.0,-1.0,No,%PDF-1.4,12.0,12.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
rp-07-09,48.0,319.0,23.0,95.0,29.0,0.0,0.0,-1.0,Yes,%PDF-1.4,94.0,94.0,27.0,27.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f1099i11_accessible,76.0,331.0,6.0,251.0,18.0,0.0,0.0,-1.0,Yes,%PDF-1.4,121.0,121.0,46.0,46.0,2.0,2.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
epwrkpln_11,46.0,352.0,3.0,199.0,20.0,0.0,0.0,-1.0,Yes,%PDF-1.4,49.0,49.0,15.0,15.0,4.0,4.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Benign
centphone,81.0,272.0,1.0,21.0,0.0,0.0,0.0,-1.0,No,%PDF-1.2,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
allthweb,68.0,262.0,1.0,21.0,0.0,0.0,0.0,-1.0,No,%PDF-1.2,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
20ritchie,75.0,310.0,2.0,56.0,48.0,0.0,0.0,-1.0,Yes,%PDF-1.6,55.0,55.0,17.0,17.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
n-98-34,43.0,229.0,23.0,97.0,0.0,0.0,0.0,-1.0,Yes,%PDF-1.1,96.0,96.0,34.0,34.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
04ludasa,122.0,399.0,7.0,181.0,105.0,0.0,0.0,-1.0,Yes,%PDF-1.2,180.0,180.0,16.0,16.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f1120s_accessible,200.0,367.0,4.0,2806.0,17.0,0.0,0.0,-1.0,Yes,%PDF-1.7,173.0,173.0,165.0,165.0,0.0,0.0,3.0,4.0,0.0,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Benign
rr-06-50,11.0,317.0,4.0,26.0,29.0,0.0,0.0,-1.0,Yes,%PDF-1.4,25.0,25.0,6.0,6.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
92chap2,88.0,273.0,6.0,85.0,0.0,0.0,0.0,-1.0,Yes,%PDF-1.6,46.0,46.0,38.0,38.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
cp16_english,73.0,226.0,3.0,565.0,0.0,0.0,0.0,-1.0,Yes,%PDF-1.7,120.0,120.0,79.0,79.0,2.0,2.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
i1118,206.0,358.0,10.0,375.0,37.0,0.0,0.0,-1.0,Yes,%PDF-1.4,374.0,374.0,30.0,30.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,Benign
amafrell,82.0,265.0,1.0,21.0,0.0,0.0,0.0,-1.0,No,%PDF-1.2,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f2438,76.0,369.0,3.0,810.0,30.0,0.0,0.0,-1.0,Yes,%PDF-1.7,57.0,57.0,50.0,50.0,0.0,0.0,3.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f8865so_accessible,81.0,395.0,1.0,1007.0,27.0,0.0,0.0,-1.0,Yes,%PDF-1.7,58.0,58.0,53.0,53.0,0.0,0.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Benign
PrivacyActWaiverForm,29.0,328.0,1.0,30.0,34.0,0.0,0.0,-1.0,Yes,%PDF-1.4,29.0,29.0,13.0,13.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
rr02-45,18.0,295.0,7.0,41.0,6.0,0.0,0.0,-1.0,Yes,%PDF-1.2,40.0,40.0,8.0,8.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
n-11-93,52.0,351.0,4.0,44.0,58.0,0.0,0.0,-1.0,Yes,%PDF-1.4,43.0,43.0,8.0,8.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,Benign
rp-04-36,81.0,314.0,5.0,165.0,11.0,0.0,0.0,-1.0,Yes,%PDF-1.3,164.0,164.0,11.0,11.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
ave23corp,166.0,396.0,1.0,115.0,10.0,0.0,0.0,-1.0,Yes,%PDF-1.7,34.0,34.0,31.0,31.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f1120ssd_accessible,63.0,374.0,1.0,540.0,30.0,0.0,0.0,-1.0,Yes,%PDF-1.7,45.0,45.0,40.0,40.0,0.0,0.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Benign
f1028,314.0,386.0,4.0,595.0,31.0,0.0,0.0,-1.0,Yes,%PDF-1.6,598.0,598.0,310.0,310.0,3.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,183.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
rr-04-17,74.0,327.0,4.0,138.0,24.0,0.0,0.0,-1.0,Yes,%PDF-1.3,137.0,137.0,10.0,10.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
anerson,100.0,283.0,1.0,35.0,0.0,0.0,0.0,-1.0,No,%PDF-1.7,34.0,34.0,22.0,22.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
irc7871,15.0,280.0,3.0,39.0,0.0,0.0,0.0,-1.0,Yes,%PDF-1.2,38.0,38.0,11.0,11.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
n-11-73,46.0,383.0,7.0,46.0,95.0,0.0,0.0,-1.0,Yes,%PDF-1.4,45.0,45.0,12.0,12.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Benign
f990so,83.0,389.0,3.0,462.0,36.0,0.0,0.0,-1.0,Yes,%PDF-1.7,55.0,55.0,47.0,47.0,0.0,0.0,5.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
f8554,101.0,413.0,3.0,737.0,27.0,0.0,0.0,-1.0,Yes,%PDF-1.7,124.0,124.0,117.0,117.0,0.0,0.0,2.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Benign
fw2vi,164.0,357.0,9.0,1230.0,16.0,0.0,0.0,-1.0,Yes,%PDF-1.7,122.0,122.0,111.0,111.0,0.0,0.0,2.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Benign
purepdf_barcodes,5.0,345.0,1.0,18.0,8.0,0.0,0.0,-1.0,Yes,%PDF-1.4,14.0,14.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
irb12-03,388.0,360.0,24.0,536.0,35.0,0.0,0.0,-1.0,Yes,%PDF-1.6,535.0,535.0,47.0,47.0,2.0,2.0,2.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Benign
aod201002,100.0,368.0,2.0,44.0,11.0,0.0,0.0,-1.0,Yes,%PDF-1.4,47.0,47.0,19.0,19.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
ssa_irs_reporter_winter,352.0,323.0,6.0,484.0,31.0,0.0,0.0,-1.0,Yes,%PDF-1.6,78.0,78.0,70.0,70.0,0.0,0.0,1.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
a-08-98,27.0,344.0,9.0,134.0,56.0,0.0,0.0,-1.0,Yes,%PDF-1.4,40.0,40.0,14.0,14.0,2.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Benign
