pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
TAHISCO PHYSICS 2 2025 - WazaElimu.com (1).pdf,1eee496b941ce35a8538cf9ac52a03314ba6e76965f76ddf69dea7323ef120b7,5269691,1.3,17,102,85,0,0,1,0,0,0,7.197656158760083,7.951782984555796,0.0,2.276259309537449,10,0,0,0,False,17,False,False,309981.82352941175,309981.82352941175,1,True,2665,0,0
clean1.pdf,3dcd373bfaa5895d74f237611c1f11ce033f522843e46d4cec4bbe64fc7462ec,87505,1.7,4,24,20,0,0,0,897112,897112,0,7.217613720399132,7.979478463309937,1.9219280948873623,1.760496552584227,9,0,0,0,False,8,False,False,21876.25,21876.25,1,True,68,0,0
TAHISCO PHYSICS 1 2025 - WazaElimu.com.pdf,0fc9659d666a709f517a8cd1186103f7ae805e21118c7fab41571d5c60c97ee8,438794,1.5,6,36,30,0,0,1,806651,173975,632676,7.3679196552050845,7.9938969151163235,2.0,1.7093149605186462,10,0,0,0,False,17,False,False,73132.33333333333,73132.33333333333,1,True,216,0,0
CHEMISTRY-2 - WazaElimu.com (1).pdf,96a04ad8ed2748997969b8d904d7bc85f3444208c079408ff3cc2452d051ec55,11008652,1.3,21,126,105,0,0,1,0,0,0,7.321784270849495,7.981466719006512,1.0,1.9992526337354861,10,0,0,0,False,21,True,False,524221.5238095238,524221.5238095238,1,True,1500,0,0
PHYSICS-1 - WazaElimu.com (1).pdf,1861bbf27f8600feffe992780c5fc1b09530c21855b974ef64492a9bdd246f51,918521,1.7,11,66,55,0,0,1,618702,520530,98172,7.229879312456839,7.996681932438233,0.0,2.2879344497696357,10,0,0,0,False,70,False,False,83501.90909090909,83501.90909090909,1,True,242,0,0
TAHISCO BIOLOGY 2 2025 - WazaElimu.com (1).pdf,4eda69dfb3b27459ef3c795756970144cda90e74b60449d6c648a00bdc700a5d,9615541,1.3,13,78,65,0,0,1,0,0,0,7.163535258235117,7.95526881362175,0.0,2.2658647135126193,10,0,0,0,False,13,False,False,739657.0,739657.0,1,True,1700,0,0
TAHISCO CHEMISTRY 2 2025 - WazaElimu.com.pdf,bb8c4483e611d8b28d114a218bc847cc5c9540714441e1ba9f8afdf615da21af,415800,1.5,5,30,25,0,0,1,495866,335817,160049,7.8965763684112344,7.992918589236139,7.233147114472439,0.22577083895743252,10,0,0,0,False,19,False,False,83160.0,83160.0,1,True,68,0,0
TN 412 Lecture 1 DSP_23_24.pdf,9536e08b93d618ab50010fb8730695e2b5c0a594ead3bf2174651b8b6cdadbf0,1412563,1.3,60,360,300,0,0,0,549135,549135,0,7.322221242672035,7.9808348102583295,1.584962500721156,1.8149296352558741,10,0,0,0,False,238,False,False,23542.716666666667,23542.716666666667,1,True,279,0,0
TN MAJIBU.pdf,911aed3162d26b96482706739b158763f12d5764fe31d69c181be7bcde434f38,3316047,1.7,17,102,85,0,0,0,16570,16570,0,7.457508286683643,7.964339594325368,2.5216406363433186,1.560901298537341,10,0,0,0,False,20,False,False,195061.58823529413,195061.58823529413,1,True,510,0,0
TN 412 DSP Proakis & Manolakis solution manual.pdf,314ba10e78fd7ba92fb3e7c2555f1e0de2cbdef0081c6a266dd5897e87ce53f7,6880379,1.5,400,2400,2000,0,0,1,481874,412570,69304,7.23174091109683,7.764096082130657,2.5032583347756456,1.4956363215450816,10,0,0,0,False,401,True,False,17200.9475,17200.9475,1,True,1328,0,0
